set_name,item_title,raw_price,image_url
Pokemon Black Bolt,Victini #12,$1.22,https://storage.googleapis.com/images.pricecharting.com/tyg4cxegf5uf7iyo/60.jpg
Pokemon Black Bolt,Victini [Poke Ball] #12,$1.35,https://storage.googleapis.com/images.pricecharting.com/jlik7vwobboxn4qx/60.jpg
Pokemon Black Bolt,Booster Bundle,$56.58,https://storage.googleapis.com/images.pricecharting.com/wykgea5txlioizhs/60.jpg
Pokemon Black Bolt,Victini [Master Ball] #12,$12.00,https://storage.googleapis.com/images.pricecharting.com/ahkdzvdglzyx2743/60.jpg
Pokemon Black Bolt,Booster Pack,$13.74,https://storage.googleapis.com/images.pricecharting.com/z57mdxbwkmlg2bet/60.jpg
Pokemon Black Bolt,Tech Sticker Collection,$22.45,https://storage.googleapis.com/images.pricecharting.com/ndjjws5bmvgarmcf/60.jpg
Pokemon Black Bolt,Victini [Reverse] #12,$1.99,https://storage.googleapis.com/images.pricecharting.com/gmkng7sukuzpg3xh/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Chandelure & Zorua,$17.74,https://storage.googleapis.com/images.pricecharting.com/eklqo4uaawpgka3c/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Mienshao & Klinklang,$23.00,https://storage.googleapis.com/images.pricecharting.com/ihjgep4llr6phsjj/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Alomomola & Axew,$20.00,https://storage.googleapis.com/images.pricecharting.com/fip4ojecydkmizoo/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Volcarona & Emolga,$22.00,https://storage.googleapis.com/images.pricecharting.com/xikp3ozwhfgjr6f5/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Garbodor & Amoonguss,$22.00,https://storage.googleapis.com/images.pricecharting.com/5b26r2ajuy4e2tg4/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Elektross & Galvantula,$20.00,https://storage.googleapis.com/images.pricecharting.com/sgl3bestl6orz6xm/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Lilligant & Whimsicot,$20.00,https://storage.googleapis.com/images.pricecharting.com/vaokicchb7rf725c/60.jpg
Pokemon Black Bolt,Unova Mini Tin: Krookodile & Excadrill,$21.00,https://storage.googleapis.com/images.pricecharting.com/rqkvtngzhdvjmdgu/60.jpg
Pokemon Champion%27S Path,Elite Trainer Box,$109.72,https://storage.googleapis.com/images.pricecharting.com/ba24212028a0ee2dcbe6a4dcf82339d7161beb971900df321471d51d35629407/60.jpg
Pokemon Champion%27S Path,Suspicious Food Tin #80,$2.62,https://storage.googleapis.com/images.pricecharting.com/4baff689f4cfabce36b3d3173bcf3bca681bdb9ad04292543ab9cabb6622a7f5/60.jpg
Pokemon Champion%27S Path,Booster Pack,$12.22,https://storage.googleapis.com/images.pricecharting.com/6696d11c3b777d202d085007b3cff2f08819f309e238e7cf4a6545aeb3d3518a/60.jpg
Pokemon Champion%27S Path,Premium Collection: Marnie,$91.85,https://storage.googleapis.com/images.pricecharting.com/3ccznmq7wo526pjn/60.jpg
Pokemon Champion%27S Path,Victini #7,$1.00,https://storage.googleapis.com/images.pricecharting.com/01c2fde23b560d00559441e7cb84427512073b0ea2cdc084756353441e9e5b2e/60.jpg
Pokemon Champion%27S Path,Sealed Collection: Dubwool V,$43.10,https://storage.googleapis.com/images.pricecharting.com/6oxiqnf6k7lf7zjc/60.jpg
Pokemon Champion%27S Path,Sealed Collection: Hatterene V,$39.35,https://storage.googleapis.com/images.pricecharting.com/zekebfmdh3rmflqd/60.jpg
Pokemon Chilling Reign,Booster Box,$500.24,https://storage.googleapis.com/images.pricecharting.com/0a86787f7b29d0bcf549e619301bf9002aa44bb7dffd8df5fa7ee84b5a1da69b/60.jpg
Pokemon Chilling Reign,Booster Pack,$11.57,https://storage.googleapis.com/images.pricecharting.com/eb1786637b5eca35eb8a132ee3995c3f81b8e883032da97a9e11b032a9ac954f/60.jpg
